Id	Name	InChI	logKow_KOWWIN	logKow_KOWWIN_exp	logKow_ALOGPS	HF	dipole	eTotal	eElectronic	eNuclear	MW	saCOSMO	vCOSMO	eNHOMO	eHOMO	eLUMO	eSLUMO	eGap	qMin	qMinRing	qMax	qMaxRing	qMaxH	qAvgRing	polarityRing	qElephMax	qElephMaxRing	qElephMaxH	qElephAvgRing	qNuphMax	qNuphMaxRing	qNuphMaxH	qNuphAvgRing
11	1,2-dibromo-3,4,5,6-tetrachlorobenzene	InChI=1S/C6Br2Cl4/c7-1-2(8)4(10)6(12)5(11)3(1)9	6.35	N/A	5.85	7.34872	0.463	-2249.02061	-10550.75067	8301.73006	373.686	225.42	246.7	-10.06	-9.993	-1.607	-1.579	8.386	-0.051547	-0.051547	0.054492	-0.029558	N/A	-0.040298	0.23744730000000003	0.214569	0.110026	N/A	0.068080	0.237463	0.237463	N/A	0.157844
12	1-bromo-2,3,4,5,6-pentachlorobenzene	InChI=1S/C6BrCl5/c7-1-2(8)4(10)6(12)5(11)3(1)9	6.11	N/A	5.77	-4.76342	0.294	-2293.58899	-10693.01845	8399.42946	329.235	221.2	240.11	-10.145	-10.049	-1.625	-1.6	8.424	-0.067261	-0.067261	0.061316	-0.020236	N/A	-0.038883	0.24097623	0.327776	0.141151	N/A	0.070714	0.317872	0.317872	N/A	0.157599
13	hexachlorobenzene	InChI=1S/C6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9	5.86	N/A	5.70	-16.80953	0.0	-2338.15444	-10838.47071	8500.31627	284.784	216.84	233.31	-10.18	-10.18	-1.638	-1.638	8.542	-0.037634	-0.037634	0.037653	-0.037615	N/A	-0.037626	0.26089811999999996	0.166837	0.163864	N/A	0.082593	0.309916	0.309916	N/A	0.157117
14	1,2,3,4,5-pentachloro-6-fluorobenzene	InChI=1S/C6Cl5F/c7-1-2(8)4(10)6(12)5(11)3(1)9	5.42	N/A	5.09	-55.64322	0.137	-2536.87594	-11192.89152	8656.01558	268.329	208.46	221.2	-10.317	-10.209	-1.694	-1.56	8.515	-0.096025	-0.087256	0.159476	0.159476	N/A	-0.017653	0.24098405	0.134653	0.123483	N/A	0.081066	0.240984	0.240984	N/A	0.156920
15	1,2,4,5-tetrachloro-3,6-difluorobenzene	InChI=1S/C6Cl4F2/c7-1-2(8)6(12)4(10)3(9)5(1)11	4.97	N/A	4.41	-94.43026	0.0	-2735.59433	-11548.19797	8812.60364	251.875	200.16	208.88	-10.489	-10.233	-1.745	-1.478	8.488	-0.097368	-0.066177	0.137589	0.137589	N/A	0.001749	0.23512901	0.130356	0.119647	N/A	0.079765	0.235129	0.235129	N/A	0.156688
16	1,2,3,5-tetrachloro-4,6-difluorobenzene	InChI=1S/C6Cl4F2/c7-1-2(8)5(11)4(10)6(12)3(1)9	4.97	N/A	4.41	-94.50245	0.15	-2735.59657	-11547.63418	8812.03761	251.875	200.0	208.83	-10.416	-10.289	-1.684	-1.546	8.605	-0.135500	-0.135500	0.180202	0.180202	N/A	0.002409	0.26467558	0.201209	0.169992	N/A	0.083207	0.343749	0.343749	N/A	0.157379
17	1,2,3,4-tetrachloro-5,6-difluorobenzene	InChI=1S/C6Cl4F2/c7-1-2(8)4(10)6(12)5(11)3(1)9	4.97	N/A	4.44	-92.04055	0.267	-2735.49123	-11546.64314	8811.15191	251.875	199.23	208.91	-10.44	-10.299	-1.69	-1.564	8.609	-0.088878	-0.067489	0.112870	0.112870	N/A	0.002893	0.23340946999999998	0.196658	0.163945	N/A	0.084413	0.310028	0.310028	N/A	0.157479
18	1,2,4-trichloro-3,5,6-trifluorobenzene	InChI=1S/C6Cl3F3/c7-1-2(8)5(11)6(12)3(9)4(1)10	4.53	N/A	4.06	-130.87519	0.167	-2934.20977	-11902.42094	8968.21117	235.42	190.47	196.03	-10.626	-10.338	-1.725	-1.497	8.613	-0.115984	-0.115984	0.158415	0.158415	N/A	0.022368	0.28767961000000003	0.193565	0.159282	N/A	0.083716	0.307029	0.307029	N/A	0.157449
19	1,3,5-trichloro-2,4,6-trifluorobenzene	InChI=1S/C6Cl3F3/c7-1-4(10)2(8)6(12)3(9)5(1)11	4.53	N/A	4.06	-133.38816	0.0	-2934.31643	-11902.74373	8968.4273	235.42	191.13	195.84	-10.445	-10.445	-1.603	-1.603	8.842	-0.155372	-0.155372	0.200514	0.200514	N/A	0.022571	0.30171071	0.263747	0.195188	N/A	0.092913	0.354980	0.354980	N/A	0.158633
20	1,2,3-trichloro-4,5,6-trifluorobenzene	InChI=1S/C6Cl3F3/c7-1-2(8)4(10)6(12)5(11)3(1)9	4.53	N/A	4.09	-128.62374	0.337	-2934.11235	-11901.59913	8967.48677	235.42	189.89	196.02	-10.484	-10.479	-1.632	-1.621	8.847	-0.089256	-0.087477	0.132294	0.132294	N/A	0.023431	0.27706785000000006	0.191629	0.159122	N/A	0.095711	0.343632	0.343632	N/A	0.158382
21	1,4-dichloro-2,3,5,6-tetrafluorobenzene	InChI=1S/C6Cl2F4/c7-1-3(9)5(11)2(8)6(12)4(1)10	4.08	N/A	3.47	-167.31288	0.0	-3132.82392	-12257.83616	9125.01224	218.966	180.99	183.7	-10.898	-10.414	-1.736	-1.476	8.678	-0.096418	-0.096418	0.111768	0.111768	N/A	0.042369	0.22239446000000002	0.228542	0.162007	N/A	0.086108	0.306031	0.306031	N/A	0.157807
22	1,3-dichloro-2,4,5,6-tetrafluorobenzene	InChI=1S/C6Cl2F4/c7-1-3(9)2(8)5(11)6(12)4(1)10	4.08	N/A	3.48	-167.49937	0.185	-3132.83079	-12257.85523	9125.02444	218.966	181.01	183.4	-10.703	-10.501	-1.673	-1.547	8.828	-0.135919	-0.135919	0.178862	0.178862	N/A	0.042990	0.26194068000000004	0.198963	0.151867	N/A	0.092974	0.261941	0.261941	N/A	0.158537
23	1,2-dichloro-3,4,5,6-tetrafluorobenzene	InChI=1S/C6Cl2F4/c7-1-2(8)4(10)6(12)5(11)3(1)9	4.08	N/A	3.51	-165.17617	0.312	-3132.73119	-12257.61253	9124.88134	218.966	180.3	182.8	-10.74	-10.519	-1.689	-1.553	8.830	-0.090323	-0.066693	0.110471	0.110471	N/A	0.043370	0.24981218000000005	0.210724	0.151089	N/A	0.090486	0.250602	0.250602	N/A	0.158342
24	1-chloro-2,3,4,5,6-pentafluorobenzene	InChI=1S/C6ClF5/c7-1-2(8)4(10)6(12)5(11)3(1)9	3.64	N/A	2.97	-201.78461	0.194	-3331.3506	-12614.21929	9282.86868	202.511	170.9	170.82	-10.971	-10.645	-1.68	-1.551	8.965	-0.116451	-0.116451	0.131140	0.131140	N/A	0.063384	0.2489551399999999	0.348997	0.191320	N/A	0.098470	0.320244	0.320244	N/A	0.158942
25	hexafluorobenzene	InChI=1S/C6F6/c7-1-2(8)4(10)6(12)5(11)3(1)9	3.20	N/A	2.33	-236.23516	0.0	-3529.87551	-12971.79294	9441.91744	186.056	161.22	157.58	-11.036	-11.036	-1.622	-1.622	9.414	-0.083800	0.083759	0.083803	0.083803	N/A	0.083785	0.24038009000000002	0.243839	0.243839	N/A	0.142491	0.319792	0.319792	N/A	0.159896
26	1,2,3,4,5-pentabromobenzene	InChI=1S/C6HBr5/c7-2-1-3(8)5(10)6(11)4(2)9/h1H	6.44	N/A	5.52	48.90143	0.99	-1861.95042	-8604.37761	6742.4272	472.594	226.12	246.32	-9.949	-9.749	-1.379	-1.318	8.370	-0.145829	-0.145829	0.197224	-0.030267	0.197224	-0.058134	0.24334618	0.159216	0.099793	0.000000	0.065879	0.243346	0.243346	0.000000	0.158975
27	1,2,3,4-tetrabromo-5-chlorobenzene	InChI=1S/C6HBr4Cl/c7-2-1-3(11)5(9)6(10)4(2)8/h1H	6.20	N/A	5.55	36.31288	0.835	-1906.53978	-8734.51394	6827.97415	428.143	221.48	240.32	-9.997	-9.799	-1.393	-1.341	8.406	-0.162492	-0.162492	0.200074	0.007339	0.200074	-0.055879	0.27885941	0.199290	0.112226	0.000000	0.067666	0.301842	0.301842	0.000000	0.158951
28	1,2,4,5-tetrabromo-3-chlorobenzene	InChI=1S/C6HBr4Cl/c7-2-1-3(8)5(10)6(11)4(2)9/h1H	6.20	N/A	5.54	36.64488	1.2	-1906.52532	-8739.30078	6832.77546	428.143	221.94	239.76	-10.04	-9.769	-1.404	-1.315	8.365	-0.154525	-0.154525	0.197530	-0.006646	0.197530	-0.056730	0.24591817	0.161298	0.100426	0.000000	0.065436	0.245918	0.245918	0.000000	0.158948
29	1,2,3,5-tetrabromo-4-chlorobenzene	InChI=1S/C6HBr4Cl/c7-2-1-3(8)6(11)5(10)4(2)9/h1H	6.20	N/A	5.54	36.68208	1.092	-1906.52323	-8738.67212	6832.14889	428.143	222.17	240.5	-9.997	-9.798	-1.387	-1.333	8.411	-0.136293	-0.136293	0.196958	-0.018485	0.196958	-0.056589	0.27913081999999995	0.204864	0.120410	0.000000	0.067987	0.297681	0.297681	0.000000	0.158923
30	1,2,4-tribromo-3,5-dichlorobenzene	InChI=1S/C6HBr3Cl2/c7-2-1-3(10)5(9)6(11)4(2)8/h1H	5.95	N/A	5.58	24.12185	1.043	-1951.11161	-8869.64018	6918.52857	383.692	217.29	234.15	-10.098	-9.82	-1.417	-1.339	8.403	-0.171226	-0.171226	0.200399	0.016318	0.200399	-0.054410	0.2795056	0.199380	0.109429	0.000000	0.067233	0.289446	0.289446	0.000000	0.158790
31	1,3,5-tribromo-2,4-dichlorobenzene	InChI=1S/C6HBr3Cl2/c7-2-1-3(8)6(11)4(9)5(2)10/h1H	5.95	N/A	5.58	24.53078	1.168	-1951.09286	-8873.13712	6922.04427	383.692	218.28	234.14	-10.034	-9.859	-1.389	-1.354	8.470	-0.126783	-0.126783	0.196679	-0.009352	0.196679	-0.054982	0.24078710000000003	0.189502	0.113839	0.000000	0.072390	0.240788	0.240788	0.000000	0.158331
32	1,3,4-tribromo-2,5-dichlorobenzene	InChI=1S/C6HBr3Cl2/c7-2-1-3(10)4(8)5(9)6(2)11/h1H	5.95	N/A	5.58	24.13277	0.907	-1951.11081	-8868.94311	6917.83231	383.692	217.2	233.48	-10.066	-9.847	-1.409	-1.348	8.438	-0.152976	-0.152976	0.199784	-0.001245	0.199784	-0.054328	0.24713359000000001	0.249021	0.131189	0.000000	0.068977	0.321718	0.321718	0.000000	0.159346
33	1,2,5-tribromo-3,4-dichlorobenzene	InChI=1S/C6HBr3Cl2/c7-2-1-3(8)5(10)6(11)4(2)9/h1H	5.95	N/A	5.59	24.29927	1.342	-1951.10338	-8878.36879	6927.26541	383.692	217.79	234.17	-10.116	-9.822	-1.416	-1.338	8.406	-0.144582	-0.144582	0.197246	-0.024900	0.197246	-0.055277	0.26882019	0.207863	0.119647	0.000000	0.067493	0.275626	0.275626	0.000000	0.158708
34	1,2,3-tribromo-4,5-dichlorobenzene	InChI=1S/C6HBr3Cl2/c7-2-1-3(10)6(11)5(9)4(2)8/h1H	5.95	N/A	5.60	24.11891	0.986	-1951.11151	-8873.65645	6922.54495	383.692	217.2	234.02	-10.04	-9.867	-1.402	-1.367	8.465	-0.151697	-0.151697	0.199790	-0.010687	0.199790	-0.054431	0.25241977000000004	0.218013	0.117375	0.000000	0.071498	0.252709	0.252709	0.000000	0.158344
35	2,3,4-tribromo-1,5-dichlorobenzene	InChI=1S/C6HBr3Cl2/c7-4-2(10)1-3(11)5(8)6(4)9/h1H	5.95	N/A	5.60	23.80936	0.644	-1951.1252	-8864.93736	6913.81216	383.692	216.31	233.33	-10.036	-9.861	-1.4	-1.372	8.461	-0.179275	-0.179275	0.202866	0.017127	0.202866	-0.053592	0.25050069999999997	0.205134	0.109628	0.000000	0.071115	0.250502	0.250502	0.000000	0.158354
36	1,5-dibromo-2,3,4-trichlorobenzene	InChI=1S/C6HBr2Cl3/c7-2-1-3(8)5(10)6(11)4(2)9/h1H	5.71	N/A	5.40	12.1115	1.458	-1995.67443	-9017.01289	7021.33845	339.241	213.86	227.68	-10.179	-9.889	-1.424	-1.364	8.465	-0.134672	-0.134672	0.196956	-0.026463	0.196956	-0.053785	0.23765734	0.190722	0.114786	0.000000	0.071821	0.237658	0.237658	0.000000	0.158244
37	1,4-dibromo-2,3,5-trichlorobenzene	InChI=1S/C6HBr2Cl3/c7-2-1-3(9)4(8)6(11)5(2)10/h1H	5.71	N/A	5.41	11.81232	1.157	-1995.688	-9008.81649	7013.12849	339.241	213.09	227.17	-10.213	-9.873	-1.434	-1.358	8.439	-0.161370	-0.161370	0.200097	0.008076	0.200097	-0.052946	0.27155959999999996	0.251221	0.127664	0.000000	0.068752	0.308693	0.308693	0.000000	0.158814
38	2,3-dibromo-1,4,5-trichlorobenzene	InChI=1S/C6HBr2Cl3/c7-4-2(9)1-3(10)6(11)5(4)8/h1H	5.71	N/A	5.45	11.65181	0.765	-1995.69524	-9004.28374	7008.5885	339.241	212.03	226.65	-10.101	-9.931	-1.419	-1.388	8.512	-0.168385	-0.168385	0.202603	0.008803	0.202603	-0.052133	0.2549710399999999	0.302190	0.139877	0.000000	0.074224	0.315734	0.315734	0.000000	0.158776
39	1,3-dibromo-2,4,5-trichlorobenzene	InChI=1S/C6HBr2Cl3/c7-2-1-3(9)6(11)4(8)5(2)10/h1H	5.71	N/A	5.40	12.00437	1.02	-1995.67945	-9008.28814	7012.60869	339.241	213.26	227.72	-10.096	-9.932	-1.414	-1.379	8.518	-0.142141	-0.142141	0.199534	-0.017864	0.199534	-0.052812	0.26246175999999993	0.268137	0.136679	0.000000	0.075774	0.323422	0.323422	0.000000	0.158743
40	1,2-dibromo-3,4,5-trichlorobenzene	InChI=1S/C6HBr2Cl3/c7-2-1-3(9)5(10)6(11)4(2)8/h1H	5.71	N/A	5.41	11.89302	1.23	-1995.68467	-9012.96784	7017.28317	339.241	212.96	227.37	-10.171	-9.892	-1.432	-1.37	8.460	-0.160094	-0.160094	0.200092	-0.000842	0.200092	-0.053083	0.25550751000000005	0.225262	0.119233	0.000000	0.070853	0.255835	0.255835	0.000000	0.158296
41	2,4-dibromo-1,3,5-trichlorobenzene	InChI=1S/C6HBr2Cl3/c7-4-2(9)1-3(10)5(8)6(4)11/h1H	5.71	N/A	5.42	11.68361	0.856	-1995.69395	-9000.27697	7004.58302	339.241	212.35	226.98	-10.146	-9.883	-1.426	-1.369	8.457	-0.188031	-0.188031	0.203210	0.026074	0.203210	-0.052056	0.25280904000000004	0.207860	0.107519	0.000000	0.070541	0.252809	0.252809	0.000000	0.158323
42	2-bromo-1,3,4,5-tetrachlorobenzene	InChI=1S/C6HBrCl4/c7-4-2(8)1-3(9)5(10)6(4)11/h1H	5.46	N/A	5.23	-0.51344	1.014	-2040.26553	-9143.79101	7103.52548	294.79	208.05	220.54	-10.255	-9.959	-1.446	-1.396	8.513	-0.176874	-0.176874	0.202931	0.018098	0.202931	-0.050717	0.28154611999999996	0.303510	0.135351	0.000000	0.074015	0.296700	0.296700	0.000000	0.158198
43	1-bromo-2,3,4,5-tetrachlorobenzene	InChI=1S/C6HBrCl4/c7-2-1-3(8)5(10)6(11)4(2)9/h1H	5.46	N/A	5.23	-0.24477	1.306	-2040.25346	-9151.69361	7111.44015	294.79	208.82	220.99	-10.269	-9.965	-1.447	-1.392	8.518	-0.150217	-0.150217	0.199831	-0.009187	0.199831	-0.051580	0.27362817999999994	0.267411	0.130105	0.000000	0.075571	0.295503	0.295503	0.000000	0.158198
44	3-bromo-1,2,4,5-tetrachlorobenzene	InChI=1S/C6HBrCl4/c7-4-5(10)2(8)1-3(9)6(4)11/h1H	5.46	N/A	5.24	-0.441	0.826	-2040.26223	-9143.7464	7103.48417	294.79	207.82	220.55	-10.139	-10.039	-1.426	-1.418	8.613	-0.157499	-0.157499	0.202328	-0.009292	0.202328	-0.050605	0.24294263	0.130322	0.130322	0.000000	0.085936	0.242952	0.242952	0.000000	0.157698
45	1,2,3,4,5-pentachlorobenzene	InChI=1S/C6HCl5/c7-2-1-3(8)5(10)6(11)4(2)9/h1H	5.22	5.17	5.22	-12.5247	1.118	-2084.82889	-9286.7156	7201.88671	250.339	203.53	214.08	-10.333	-10.074	-1.462	-1.428	8.612	-0.165742	-0.165742	0.202647	0.000863	0.202647	-0.049337	0.24462996999999997	0.131407	0.131407	0.000000	0.085480	0.244631	0.244631	0.000000	0.157606
46	1,2,3,4-tetrachloro-5-fluorobenzene	InChI=1S/C6HCl4F/c7-2-1-3(11)5(9)6(10)4(2)8/h1H	4.77	N/A	4.50	-50.86888	1.111	-2283.52852	-9631.5489	7348.02037	233.884	193.61	201.31	-10.402	-10.144	-1.48	-1.36	8.664	-0.214341	-0.214341	0.206581	0.194901	0.206581	-0.030061	0.26420535	0.179917	0.155158	0.000000	0.089675	0.266257	0.266257	0.000000	0.159319
47	1,2,4,5-tetrachloro-3-fluorobenzene	InChI=1S/C6HCl4F/c7-2-1-3(8)5(10)6(11)4(2)9/h1H	4.77	N/A	4.51	-51.48637	1.256	-2283.55468	-9636.11665	7352.56197	233.884	194.87	201.35	-10.524	-10.099	-1.509	-1.336	8.590	-0.188336	-0.188336	0.202233	0.172162	0.202233	-0.029975	0.24950146	0.137532	0.130828	0.000000	0.083873	0.249501	0.249501	0.000000	0.157459
48	1,2,3,5-tetrachloro-4-fluorobenzene	InChI=1S/C6HCl4F/c7-2-1-3(8)6(11)5(10)4(2)9/h1H	4.77	N/A	4.51	-51.27223	1.16	-2283.54433	-9636.02773	7352.4834	233.884	194.86	201.63	-10.424	-10.163	-1.49	-1.364	8.673	-0.144040	-0.144040	0.201277	0.141185	0.201277	-0.029716	0.28626207	0.185725	0.175311	0.000000	0.088998	0.290954	0.290954	0.000000	0.159161
49	1,2,4-trichloro-3,5-difluorobenzene	InChI=1S/C6HCl3F2/c7-2-1-3(10)5(9)6(11)4(2)8/h1H	4.33	N/A	4.07	-89.87509	1.253	-2482.25432	-9981.20927	7498.95495	217.43	184.91	188.32	-10.609	-10.172	-1.474	-1.316	8.698	-0.236690	-0.236690	0.215274	0.215274	0.206222	-0.010683	0.29021352000000006	0.181957	0.145696	0.000000	0.088030	0.344923	0.344923	0.000000	0.158455
50	1,3,5-trichloro-2,4-difluorobenzene	InChI=1S/C6HCl3F2/c7-2-1-3(8)6(11)4(9)5(2)10/h1H	4.33	N/A	4.05	-90.05951	1.206	-2482.25958	-9985.58375	7503.32418	217.43	186.2	188.47	-10.468	-10.3	-1.453	-1.361	8.847	-0.122766	-0.122766	0.199968	0.162384	0.199968	-0.010028	0.25836089000000007	0.174440	0.163864	0.000000	0.100686	0.334317	0.334317	0.000000	0.161021
51	1,3,4-trichloro-2,5-difluorobenzene	InChI=1S/C6HCl3F2/c7-2-1-3(10)4(8)5(9)6(2)11/h1H	4.33	N/A	4.06	-89.56302	1.154	-2482.24061	-9981.8181	7499.57749	217.43	185.1	188.33	-10.55	-10.215	-1.524	-1.27	8.691	-0.192860	-0.192860	0.204969	0.172430	0.204969	-0.011041	0.26210576999999996	0.228355	0.187663	0.000000	0.090153	0.262555	0.262555	0.000000	0.159269
52	1,2,5-trichloro-3,4-difluorobenzene	InChI=1S/C6HCl3F2/c7-2-1-3(8)5(10)6(11)4(2)9/h1H	4.33	N/A	4.05	-87.8305	1.316	-2482.16541	-9984.51833	7502.35291	217.43	185.42	188.79	-10.684	-10.204	-1.494	-1.336	8.710	-0.166775	-0.166775	0.200944	0.124972	0.200944	-0.009807	0.26335741	0.195769	0.168676	0.000000	0.088695	0.309583	0.309583	0.000000	0.158375
53	1,2,3-trichloro-4,5-difluorobenzene	InChI=1S/C6HCl3F2/c7-2-1-3(10)6(11)5(9)4(2)8/h1H	4.33	N/A	4.08	-87.31375	1.144	-2482.14327	-9979.61601	7497.47274	217.43	184.28	189.06	-10.482	-10.294	-1.456	-1.369	8.838	-0.194559	-0.194559	0.205457	0.148568	0.205457	-0.009935	0.27410604	0.220952	0.186193	0.000000	0.097310	0.332816	0.332816	0.000000	0.160690
54	2,3,4-trichloro-1,5-difluorobenzene	InChI=1S/C6HCl3F2/c7-4-2(10)1-3(11)5(8)6(4)9/h1H	4.33	N/A	4.07	-89.41077	1.101	-2482.23451	-9977.93215	7495.69765	217.43	184.08	188.43	-10.447	-10.24	-1.447	-1.337	8.793	-0.261618	-0.261618	0.216204	0.216204	0.210383	-0.010840	0.29334290999999996	0.184352	0.149693	0.000000	0.098069	0.366028	0.366028	0.000000	0.160229
55	1,5-dichloro-2,3,4-trifluorobenzene	InChI=1S/C6HCl2F3/c7-2-1-3(8)5(10)6(11)4(2)9/h1H	3.88	N/A	3.46	-124.36889	1.379	-2680.78237	-10334.12537	7653.343	200.975	175.84	175.27	-10.777	-10.358	-1.425	-1.387	8.933	-0.145263	-0.145263	0.199710	0.114259	0.199710	0.010331	0.25030063999999996	0.173854	0.167937	0.000000	0.100642	0.250301	0.250301	0.000000	0.159001
56	1,4-dichloro-2,3,5-trifluorobenzene	InChI=1S/C6HCl2F3/c7-2-1-3(9)4(8)6(11)5(2)10/h1H	3.88	N/A	3.44	-126.18663	1.311	-2680.86266	-10330.75539	7649.89274	200.975	175.54	175.22	-10.882	-10.265	-1.5	-1.265	8.765	-0.215484	-0.215484	0.204702	0.193025	0.204702	0.008865	0.28135433	0.243412	0.179184	0.000000	0.091529	0.317759	0.317759	0.000000	0.159201
57	2,3-dichloro-1,4,5-trifluorobenzene	InChI=1S/C6HCl2F3/c7-4-2(9)1-3(10)6(11)5(4)8/h1H	3.88	N/A	3.46	-125.79489	1.136	-2680.84566	-10327.04211	7646.19645	200.975	174.29	175.33	-10.606	-10.365	-1.48	-1.278	8.885	-0.242259	-0.242259	0.209079	0.193978	0.209079	0.008660	0.308529	0.306656	0.216692	0.000000	0.098306	0.317422	0.317422	0.000000	0.160216
58	1,3-dichloro-2,4,5-trifluorobenzene	InChI=1S/C6HCl2F3/c7-2-1-3(9)6(11)4(8)5(2)10/h1H	3.88	N/A	3.45	-126.06331	1.187	-2680.85588	-10330.37526	7649.51938	200.975	175.37	175.7	-10.581	-10.42	-1.483	-1.292	8.937	-0.172992	-0.172992	0.203961	0.138512	0.203961	0.009122	0.27444827	0.264371	0.224109	0.000000	0.105736	0.288586	0.288586	0.000000	0.160699
59	1,2-dichloro-3,4,5-trifluorobenzene	InChI=1S/C6HCl2F3/c7-2-1-3(9)5(10)6(11)4(2)8/h1H	3.88	N/A	3.47	-124.05234	1.305	-2680.77	-10329.28666	7648.51666	200.975	174.69	175.74	-10.771	-10.332	-1.422	-1.374	8.910	-0.216956	-0.216956	0.205163	0.167800	0.205163	0.009890	0.2752955700000001	0.232570	0.178761	0.000000	0.096147	0.275417	0.275417	0.000000	0.158821
